Item ID,Qty,Rate,External ID,Date,Department,Location,Currency,Customer,Gross Amount,Price Level,VAT,PO,Payment Method,Memo,Account,Cus Checking,New Cus Checking
2479,1,279.34,JY009068144603,11/02/2022,22,76,CNY,3760095,315.65,Custom,,2461009068189217915,,2461009068189217915,2069,19,Tmall
91,1,118.26,JY010938544604,12/02/2022,22,76,CNY,3760095,133.63,Custom,,1487010938535848491,,1487010938535848491,2069,19,Tmall
3022,1,241.92,JY014674544604,12/02/2022,22,76,CNY,3760095,273.37,Custom,,2464014674554832666,,2464014674554832666,2069,19,Tmall
105,1,278.78,JY015483544604,12/02/2022,22,76,CNY,3760095,315.02,Custom,,2466015483592386714,,2466015483592386714,2069,19,Tmall
1855,1,122.36,JY017058944604,12/02/2022,22,76,CNY,3760095,138.27,Custom,,1487017058949878086,,1487017058949878086,2069,19,Tmall
2470,1,304.14,JY018560444604,12/02/2022,22,76,CNY,3760095,343.68,Custom,,1486018560478810680,,1486018560478810680,2069,19,Tmall
2982,1,271.26,JY021809244604,12/02/2022,22,76,CNY,3760095,306.52,Custom,,1487021809282115893,,1487021809282115893,2069,19,Tmall
2759,1,221.47,JY027247944604,12/02/2022,22,76,CNY,3760095,250.26,Custom,,1487027247911787794,,1487027247911787794,2069,19,Tmall
1899,1,308.17,JY027247944604,12/02/2022,22,76,CNY,3760095,348.23,Custom,,1487027247911787794,,1487027247911787794,2069,19,Tmall
55,1,246.36,JY029183244603,11/02/2022,22,76,CNY,3760095,278.39,Custom,,2464029183254532668,,2464029183254532668,2069,19,Tmall
1782,1,323.89,JY032080044603,11/02/2022,22,76,CNY,3760095,366.0,Custom,,2462032080034347904,,2462032080034347904,2069,19,Tmall
1904,1,308.17,JY032206944604,12/02/2022,22,76,CNY,3760095,348.23,Custom,,2464032206926211253,,2464032206926211253,2069,19,Tmall
94,1,158.38,JY034206844603,11/02/2022,22,76,CNY,3760095,178.97,Custom,,2462034206805822564,,2462034206805822564,2069,19,Tmall
91,1,153.65,JY044464044603,11/02/2022,22,76,CNY,3760095,173.63,Custom,,2462044464073241839,,2462044464073241839,2069,19,Tmall
91,1,153.65,JY046318644604,12/02/2022,22,76,CNY,3760095,173.63,Custom,,2464046318696752532,,2464046318696752532,2069,19,Tmall
1855,1,153.65,JY049377044603,11/02/2022,22,76,CNY,3760095,173.63,Custom,,1486049377082055597,,1486049377082055597,2069,19,Tmall
94,1,153.65,JY049377044603,11/02/2022,22,76,CNY,3760095,173.63,Custom,,1486049377082055597,,1486049377082055597,2069,19,Tmall
60,1,249.56,JY051341144603,11/02/2022,22,76,CNY,3760095,282.0,Custom,,2462051341147246404,,2462051341147246404,2069,19,Tmall
2842,1,210.96,JY054524044604,12/02/2022,22,76,CNY,3760095,238.39,Custom,,1486054524054179581,,1486054524054179581,2069,19,Tmall
2756,1,228.32,JY057252644604,12/02/2022,22,76,CNY,3760095,258.0,Custom,,2463057252685915427,,2463057252685915427,2069,19,Tmall
1964,1,210.96,JY060602744603,11/02/2022,22,76,CNY,3760095,238.39,Custom,,2463060602757919719,,2463060602757919719,2069,19,Tmall
1854,1,141.38,JY071807144603,11/02/2022,22,76,CNY,3760095,159.76,Custom,,2464071807138141360,,2464071807138141360,2069,19,Tmall
50,1,226.67,JY071807144603,11/02/2022,22,76,CNY,3760095,256.14,Custom,,2464071807138141360,,2464071807138141360,2069,19,Tmall
