Item ID,Qty,Rate,External ID,Date,Department,Location,Currency,Customer,Gross Amount,Price Level,VAT,PO,Payment Method,Memo,Account,Cus Checking,New Cus Checking
55,1,253.98,JY078231844606,14/02/2022,22,76,CNY,3760095,287.0,Custom,,1488078231828556494,,1488078231828556494,2069,19,Tmall
55,1,246.36,JY079736844608,16/02/2022,22,76,CNY,3760095,278.39,Custom,,2470079736801717862,,2470079736801717862,2069,19,Tmall
1855,1,157.62,JY081213444607,15/02/2022,22,76,CNY,3760095,178.11,Custom,,2470081213431991811,,2470081213431991811,2069,19,Tmall
104,1,314.18,JY081659944605,13/02/2022,22,76,CNY,3760095,355.02,Custom,,2467081659976533040,,2467081659976533040,2069,19,Tmall
55,1,246.36,JY085537844605,13/02/2022,22,76,CNY,3760095,278.39,Custom,,2466085537830879866,,2466085537830879866,2069,19,Tmall
55,1,253.98,JY086569144606,14/02/2022,22,76,CNY,3760095,287.0,Custom,,2469086569157889619,,2469086569157889619,2069,19,Tmall
91,1,157.0,JY087531444608,16/02/2022,22,76,CNY,3760095,177.41,Custom,,2472087531418909632,,2472087531418909632,2069,19,Tmall
3022,1,282.3,JY092113044606,14/02/2022,22,76,CNY,3760095,319.0,Custom,,2469092113089021420,,2469092113089021420,2069,19,Tmall
2846,1,250.09,JY092564944608,16/02/2022,22,76,CNY,3760095,282.6,Custom,,1489092564956735873,,1489092564956735873,2069,19,Tmall
55,1,246.36,JY094018744608,16/02/2022,22,76,CNY,3760095,278.39,Custom,,2473094018792026648,,2473094018792026648,2069,19,Tmall
58,1,210.96,JY095544444605,13/02/2022,22,76,CNY,3760095,238.39,Custom,,2466095544450072944,,2466095544450072944,2069,19,Tmall
60,1,189.62,JY098038544607,15/02/2022,22,76,CNY,3760095,214.27,Custom,,1489098038539755599,,1489098038539755599,2069,19,Tmall
55,1,246.36,JY106584944607,15/02/2022,22,76,CNY,3760095,278.39,Custom,,2469106584910192122,,2469106584910192122,2069,19,Tmall
91,1,139.89,JY113120944608,16/02/2022,22,76,CNY,3760095,158.08,Custom,,1489113120953534177,,1489113120953534177,2069,19,Tmall
60,1,253.98,JY114971144608,16/02/2022,22,76,CNY,3760095,287.0,Custom,,2473114971183921860,,2473114971183921860,2069,19,Tmall
95,1,135.96,JY116827344607,15/02/2022,22,76,CNY,3760095,153.63,Custom,,2471116827355049006,,2471116827355049006,2069,19,Tmall
2977,1,297.35,JY126384544607,15/02/2022,22,76,CNY,3760095,336.0,Custom,,2469126384571264553,,2469126384571264553,2069,19,Tmall
60,1,252.54,JY128759844608,16/02/2022,22,76,CNY,3760095,285.37,Custom,,2473128759870538520,,2473128759870538520,2069,19,Tmall
1903,1,317.7,JY129681944605,13/02/2022,22,76,CNY,3760095,359.0,Custom,,2467129681937577140,,2467129681937577140,2069,19,Tmall
2756,1,181.29,JY130942344607,15/02/2022,22,76,CNY,3760095,204.86,Custom,,1489130942317856185,,1489130942317856185,2069,19,Tmall
1799,1,246.15,JY132305244608,16/02/2022,22,76,CNY,3760095,278.15,Custom,,2471132305266583831,,2471132305266583831,2069,19,Tmall
