"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2472025790916172244",="2472025790915172244","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","卖家已发货，等待买家确认","9343443000321",="null","279.94","279.94","没有申请退款","无退款申请","2022-02-16 12:52:02","2022-02-16 12:52:11"
="2472025790917172244",="2472025790915172244","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 12:52:02","2022-02-16 12:52:11"
="1489459117388963394",="1489459117387963394","【暖春价】lovetodream新生婴儿襁褓期竹纤维宝宝薄睡袋防踢被防惊跳投降式","439.00","1","9343443100847","颜色分类：白色星星（竹纤维春夏轻薄款）0.2TOG;长度：【尺码详询客服】M：6-8.5kg (约3-6个月)","null","null","卖家已发货，等待买家确认","9343443100847",="null","280.39","280.39","没有申请退款","无退款申请","2022-02-16 12:51:18","2022-02-16 12:51:26"
="1489459117389963394",="1489459117387963394","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 12:51:18","2022-02-16 12:51:26"
="2472667527745275726",="2472667527744275726","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000376",="null","249.96","249.96","没有申请退款","无退款申请","2022-02-16 12:39:44","2022-02-16 12:39:50"
="2472667527746275726",="2472667527744275726","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 12:39:44","2022-02-16 12:39:50"
="2471995910359755054",="2471995910358755054","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000376",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-16 12:34:50","2022-02-16 12:34:59"
="2471995910360755054",="2471995910358755054","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 12:34:50","2022-02-16 12:34:59"
="2472652191847296002",="2472652191846296002","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443004787","颜色分类：灰色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","卖家已发货，等待买家确认","9343443004787",="null","116.30","116.30","没有申请退款","无退款申请","2022-02-16 12:32:32","2022-02-16 12:32:37"
="2472652191848296002",="2472652191846296002","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 12:32:32","2022-02-16 12:32:37"
="1488603864621190768",="1488603864620190768","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443005920",="null","146.75","146.75","没有申请退款","无退款申请","2022-02-16 12:31:04","2022-02-16 12:31:07"
="1488603864622190768",="1488603864620190768","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000376",="null","235.27","235.27","没有申请退款","无退款申请","2022-02-16 12:31:04","2022-02-16 12:31:07"
="1488603864623190768",="1488603864620190768","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 12:31:04","2022-02-16 12:31:07"
="2470541076603419101",="2470541076602419101","【暖春价】lovetodream过渡期竹纤维四季通用款襁褓防惊跳投降式睡袋","509.00","1","9343443101714","颜色分类：灰色星月（竹纤维四季通用款）1.0TOG;长度：【尺码详询客服】M码：6-8.5kg (约3-6个月)","null","null","卖家已发货，等待买家确认","9343443101714",="null","305.02","305.02","没有申请退款","无退款申请","2022-02-16 12:00:50","2022-02-16 12:00:53"
="2470541076604419101",="2470541076602419101","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 12:00:50","2022-02-16 12:00:53"
="2470537152543947605",="2470537152543947605","【暖春价】love to dream 婴儿睡袋春夏竹纤维轻薄款宝宝过渡期可拆袖防踢被","509.00","1","9343443101196","颜色分类：绿色星星(春夏季轻薄款) 0.2TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","卖家已发货，等待买家确认","9343443101196",="null","293.70","293.70","没有申请退款","无退款申请","2022-02-16 11:58:56","2022-02-16 11:59:00"
="2470470732313262363",="2470470732312262363","【暖春价】Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000840","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","卖家已发货，等待买家确认","9343443000840",="null","293.55","293.55","没有申请退款","无退款申请","2022-02-16 11:31:41","2022-02-16 11:32:05"
="2470470732314262363",="2470470732312262363","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 11:31:41","2022-02-16 11:32:05"
="2471501737841343320",="2471501737840343320","【暖春价】Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000840","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","卖家已发货，等待买家确认","9343443000840",="null","285.02","285.02","没有申请退款","无退款申请","2022-02-16 11:27:32","2022-02-16 11:27:39"
="2471501737842343320",="2471501737840343320","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 11:27:32","2022-02-16 11:27:39"
="1488526644490431290",="1488526644489431290","【暖春价】Love to dream 婴幼儿过渡期睡袋 秋冬季保暖款防惊跳投降式睡袋","539.00","1","9343443006026","颜色分类：浅紫色(秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：6-8.5kg (约3-6个月)","null","null","卖家已发货，等待买家确认","9343443006026",="null","191.16","191.16","没有申请退款","无退款申请","2022-02-16 11:20:14","2022-02-16 11:20:21"
="1488526644491431290",="1488526644489431290","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 11:20:14","2022-02-16 11:20:21"
="1488513576724476681",="1488513576723476681","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000376",="null","287.00","287.00","没有申请退款","无退款申请","2022-02-16 11:11:30","2022-02-16 11:11:40"
