"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="1489969381411649087",="1489969381410649087","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443000321",="null","258.06","258.06","没有申请退款","无退款申请","2022-02-16 23:23:01","2022-02-16 23:23:18"
="1489969381412649087",="1489969381410649087","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 23:23:01","2022-02-16 23:23:18"
="2472825781713370261",="2472825781712370261","【暖春价】Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000840","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","买家已付款，等待卖家发货","9343443000840",="null","314.11","314.11","没有申请退款","无退款申请","2022-02-16 23:19:43","2022-02-16 23:19:58"
="2472825781714370261",="2472825781712370261","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 23:19:43","2022-02-16 23:19:58"
="2473146830489748155",="2473146830488748155","【暖春价】Lovetodream 新生婴儿防惊跳睡袋宝宝襁褓投降式防踢被四季通用款","499.00","1","9343443004787","颜色分类：灰色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443004787",="null","179.00","179.00","没有申请退款","无退款申请","2022-02-16 23:19:27","2022-02-16 23:19:33"
="2473146830490748155",="2473146830488748155","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 23:19:27","2022-02-16 23:19:33"
="2472818221078624830",="2472818221077624830","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443000321",="null","262.23","262.23","没有申请退款","无退款申请","2022-02-16 23:11:37","2022-02-16 23:11:41"
="2472818221079624830",="2472818221077624830","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 23:11:37","2022-02-16 23:11:41"
="1490019962926261891",="1490019962925261891","【暖春价】Love to dream 婴幼儿过渡期睡袋 秋冬季保暖款防惊跳投降式睡袋","539.00","1","9343443004756","颜色分类：薄荷绿 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】XL：11-14kg (约9-12个月)","null","null","买家已付款，等待卖家发货","9343443004756",="null","152.36","152.36","没有申请退款","无退款申请","2022-02-16 22:56:47","2022-02-16 22:56:53"
="1490019962927261891",="1490019962925261891","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:56:47","2022-02-16 22:56:53"
="2471732100212927344",="2471732100211927344","【暖春价】Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443004275","颜色分类：薄荷绿（四季通用款）1.0TOG;长度：【尺码详询客服】XL码：11-14kg (约9-12个月)","null","null","买家已付款，等待卖家发货","9343443004275",="null","285.02","285.02","没有申请退款","无退款申请","2022-02-16 22:52:00","2022-02-16 22:52:03"
="2471732100213927344",="2471732100211927344","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:52:00","2022-02-16 22:52:03"
="1489113120954534177",="1489113120953534177","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443002042","颜色分类：绿松色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443002042",="null","158.08","158.08","没有申请退款","无退款申请","2022-02-16 22:47:10","2022-02-16 22:47:14"
="1489113120955534177",="1489113120953534177","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:47:10","2022-02-16 22:47:14"
="2471714784619389010",="2471714784618389010","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000307","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】S码：2.5-4.5kg（约0-1个月）","null","null","买家已付款，等待卖家发货","9343443000307",="null","273.57","273.57","没有申请退款","无退款申请","2022-02-16 22:41:26","2022-02-16 22:41:30"
="2471714784620389010",="2471714784618389010","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:41:26","2022-02-16 22:41:30"
="2473094018793026648",="2473094018792026648","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-16 22:40:59","2022-02-16 22:41:02"
="2473094018794026648",="2473094018792026648","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:40:59","2022-02-16 22:41:02"
="2471708196047158720",="2471708196046158720","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","238.39","238.39","买家已经申请退款，等待卖家同意","0.00","2022-02-16 22:35:02","2022-02-16 22:35:07"
="2471708196048158720",="2471708196046158720","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:35:02","2022-02-16 22:35:07"
="2471700024067873415",="2471700024066873415","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443002257","颜色分类：浅紫色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","交易关闭","9343443002257",="null","159.39","159.39","退款成功","159.39","2022-02-16 22:29:30","2022-02-16 22:29:38"
="2471700024068873415",="2471700024066873415","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","交易关闭","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:29:30","2022-02-16 22:29:38"
="2472750145048695122",="2472750145047695122","【暖春价】lovetodream婴儿睡袋儿童防踢被四季通款宝宝睡袋新生婴儿防惊跳","439.00","1","9343443102063","颜色分类：虎年老虎款(四季通用款) 1.0TOG;长度：【尺码详询客服】S码：3.5-6kg（约1-3个月）","null","null","买家已付款，等待卖家发货","9343443102063",="null","229.43","229.43","没有申请退款","无退款申请","2022-02-16 22:26:04","2022-02-16 22:26:15"
="2472750145049695122",="2472750145047695122","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:26:04","2022-02-16 22:26:15"
="2473068710655509862",="2473068710654509862","【暖春价】Lovetodream 新生婴儿防惊跳睡袋宝宝襁褓投降式防踢被四季通用款","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","等待买家付款","9343443000321",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:24:02",""
="2473068710656509862",="2473068710654509862","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","等待买家付款","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:24:02",""
="2472742297191917345",="2472742297191917345","【暖春价】lovetodream新生婴儿襁褓期睡袋宝宝防踢被防惊跳投降式通用款","499.00","1","9343443000444","颜色分类：奶白色（有机棉四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约至6个月)","null","null","交易关闭","9343443000444",="null","268.23","268.23","退款成功","268.23","2022-02-16 22:21:56","2022-02-16 22:22:29"
="2472739705615384663",="2472739705614384663","【暖春价】love to dream 婴儿睡袋春夏竹纤维轻薄款宝宝过渡期可拆袖防踢被","509.00","1","9343443005319","颜色分类：薄荷绿竹纤维 (春夏季轻薄款) 0.2TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","买家已付款，等待卖家发货","9343443005319",="null","350.65","350.65","没有申请退款","无退款申请","2022-02-16 22:20:53","2022-02-16 22:20:59"
="2472739705616384663",="2472739705614384663","【暖春价】lovetodream婴儿宝宝过渡期睡袋春夏轻薄款襁褓防惊跳投降式睡姿","509.00","1","9343443006828","颜色分类：白色（春夏轻薄款）0.2TOG;长度：【尺码详询客服】XL码：11-14kg (约9-12个月)","null","null","买家已付款，等待卖家发货","9343443006828",="null","350.65","350.65","没有申请退款","无退款申请","2022-02-16 22:20:53","2022-02-16 22:20:59"
="2472739705617384663",="2472739705614384663","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:20:53","2022-02-16 22:20:59"
="1489092564957735873",="1489092564956735873","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443100953","颜色分类：蓝色 (四季通用款) 1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443100953",="null","282.60","282.60","没有申请退款","无退款申请","2022-02-16 22:19:27","2022-02-16 22:19:33"
="1489092564958735873",="1489092564956735873","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:19:27","2022-02-16 22:19:33"
="1489910161947996988",="1489910161946996988","【暖春价】lovetodream婴儿睡袋一体式分腿宝宝睡袋防踢被连体睡袋哈衣爬服","329.00","1","9343443100663","颜色分类：兔子花色;长度：【尺码详询客服】XL码：11-14kg (约12-18个月)","null","null","买家已付款，等待卖家发货","9343443100663",="null","175.12","161.99","没有申请退款","无退款申请","2022-02-16 21:59:14","2022-02-16 21:59:20"
="1489910161948996988",="1489910161946996988","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 21:59:14","2022-02-16 21:59:20"
="1490020539197207898",="1490020539196207898","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443000321",="null","253.93","253.93","没有申请退款","无退款申请","2022-02-16 21:57:04","2022-02-16 21:57:11"
="1490020539198207898",="1490020539196207898","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 21:57:04","2022-02-16 21:57:11"
="2472680665093710118",="2472680665092710118","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","221.32","221.32","没有申请退款","无退款申请","2022-02-16 21:45:01","2022-02-16 21:45:09"
="2472680665094710118",="2472680665092710118","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 21:45:01","2022-02-16 21:45:09"
="2472673537735727343",="2472673537734727343","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-16 21:42:13","2022-02-16 21:42:20"
="2472673537736727343",="2472673537734727343","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 21:42:13","2022-02-16 21:42:20"
="2471607792781184539",="2471607792780184539","【暖春价】Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000840","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","买家已付款，等待卖家发货","9343443000840",="null","295.31","273.17","没有申请退款","无退款申请","2022-02-16 21:35:04","2022-02-16 21:35:12"
="2471607792782184539",="2471607792780184539","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 21:35:04","2022-02-16 21:35:12"
="1489052604712851285",="1489052604711851285","【暖春价】Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000833","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】M码：6-8.5kg (约3-6个月)","null","null","买家已付款，等待卖家发货","9343443000833",="null","305.02","282.15","买家已经申请退款，等待卖家同意","0.00","2022-02-16 21:30:21","2022-02-16 21:30:28"
="1489052604713851285",="1489052604711851285","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 21:30:21","2022-02-16 21:30:28"
="1489993899841477970",="1489993899840477970","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","281.99","281.99","没有申请退款","无退款申请","2022-02-16 21:25:40","2022-02-16 21:25:45"
="1489993899842477970",="1489993899840477970","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 21:25:40","2022-02-16 21:25:45"
="2472601501915058114",="2472601501914058114","【暖春价】lovetodream婴儿睡袋儿童防踢被四季通款宝宝睡袋新生婴儿防惊跳","439.00","1","9343443102070","颜色分类：虎年老虎款(四季通用款) 1.0TOG;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","交易关闭","9343443102070",="null","274.41","253.83","退款成功","274.41","2022-02-16 21:01:13","2022-02-16 21:01:21"
="2472601501916058114",="2472601501914058114","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","交易关闭","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 21:01:13","2022-02-16 21:01:21"
="2472911570988381815",="2472911570987381815","【暖春价】Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443004268","颜色分类：薄荷绿（四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","买家已付款，等待卖家发货","9343443004268",="null","313.70","313.70","没有申请退款","无退款申请","2022-02-16 20:50:48","2022-02-16 20:50:52"
="2472911570989381815",="2472911570987381815","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 20:50:48","2022-02-16 20:50:52"
="1489017252597731279",="1489017252596731279","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","212.77","196.82","没有申请退款","无退款申请","2022-02-16 20:46:37","2022-02-16 20:47:27"
="1489017252598731279",="1489017252596731279","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 20:46:37","2022-02-16 20:47:27"
="2471504040232808012",="2471504040231808012","【暖春价】Love to dream 新生婴儿睡袋竹纤维轻薄款防踢被防惊跳投降式睡姿","439.00","1","9343443009614","颜色分类：粉色波点 (竹纤维四季通用款) 1.0TOG;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","买家已付款，等待卖家发货","9343443009614",="null","256.52","256.52","没有申请退款","无退款申请","2022-02-16 20:35:20","2022-02-16 20:35:29"
="2471504040233808012",="2471504040231808012","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 20:35:20","2022-02-16 20:35:29"
="2472531121405105123",="2472531121404105123","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443004787","颜色分类：灰色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443004787",="null","153.63","153.63","没有申请退款","无退款申请","2022-02-16 20:22:14","2022-02-16 20:22:19"
="2472531121406105123",="2472531121404105123","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 20:22:14","2022-02-16 20:22:19"
="1489941735484864381",="1489941735483864381","【暖春价】lovetodream过渡期竹纤维四季通用款襁褓防惊跳投降式睡袋","509.00","1","9343443101721","颜色分类：灰色星月（竹纤维四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","买家已付款，等待卖家发货","9343443101721",="null","275.02","275.02","没有申请退款","无退款申请","2022-02-16 20:18:40","2022-02-16 20:18:45"
="1489941735485864381",="1489941735483864381","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 20:18:40","2022-02-16 20:18:45"
="1489825885849376296",="1489825885848376296","【暖春价】Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000840","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","买家已付款，等待卖家发货","9343443000840",="null","305.02","305.02","没有申请退款","无退款申请","2022-02-16 20:12:33","2022-02-16 20:12:38"
="1489825885850376296",="1489825885848376296","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 20:12:33","2022-02-16 20:12:38"
="2472822038576765748",="2472822038575765748","【暖春价】Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000840","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","买家已付款，等待卖家发货","9343443000840",="null","325.02","293.34","没有申请退款","无退款申请","2022-02-16 20:03:00","2022-02-16 20:03:05"
="2472822038577765748",="2472822038575765748","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 20:03:00","2022-02-16 20:03:05"
="2472489397164470755",="2472489397163470755","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443005920",="null","179.00","179.00","没有申请退款","无退款申请","2022-02-16 19:58:36","2022-02-16 19:58:56"
="2472489397165470755",="2472489397163470755","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 19:58:36","2022-02-16 19:58:56"
="2472799466974850614",="2472799466973850614","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-16 19:51:17","2022-02-16 19:51:38"
="2472799466975850614",="2472799466973850614","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 19:51:17","2022-02-16 19:51:38"
="1489907967098164581",="1489907967097164581","【暖春价】lovetodream婴儿睡袋儿童防踢被四季通款宝宝睡袋新生婴儿防惊跳","439.00","1","9343443102070","颜色分类：虎年老虎款(四季通用款) 1.0TOG;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","买家已付款，等待卖家发货","9343443102070",="null","229.43","229.43","没有申请退款","无退款申请","2022-02-16 19:36:40","2022-02-16 19:37:36"
="1489907967099164581",="1489907967097164581","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 19:36:40","2022-02-16 19:37:36"
="2472771962503533425",="2472771962502533425","【暖春价】lovetodream婴儿襁褓期睡袋防踢被防惊跳投降式睡姿四季通用","439.00","1","9343443008136","颜色分类：希望彩虹（四季通用款）;长度：【尺码详询客服】M码：6-8.5kg (约3-6个月)","null","null","买家已付款，等待卖家发货","9343443008136",="null","235.25","235.25","没有申请退款","无退款申请","2022-02-16 19:35:05","2022-02-16 19:35:27"
="2472771962504533425",="2472771962502533425","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 19:35:05","2022-02-16 19:35:27"
="2472428449122155247",="2472428449121155247","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","251.22","251.22","没有申请退款","无退款申请","2022-02-16 19:26:25","2022-02-16 19:26:31"
="2472428449123155247",="2472428449121155247","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 19:26:25","2022-02-16 19:26:31"
="2472415561178570743",="2472415561177570743","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","交易关闭","9343443000376",="null","209.77","209.77","退款成功","209.77","2022-02-16 19:20:03","2022-02-16 19:24:08"
="2472415561179570743",="2472415561177570743","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","交易关闭","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 19:20:03","2022-02-16 19:24:08"
="2473314087925071657",="2473314087924071657","【暖春价】lovetodream婴儿宝宝独立睡眠期冬季加厚保暖款睡袋防踢被","569.00","1","9343443003773","颜色分类：浅紫色（秋冬保暖款）2.5TOG;长度：【建议大一码】Size 0-1：6-18个月（小于86cm）","null","null","买家已付款，等待卖家发货","9343443003773",="null","183.13","183.13","没有申请退款","无退款申请","2022-02-16 18:34:55","2022-02-16 18:34:59"
="2473314087926071657",="2473314087924071657","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 18:34:55","2022-02-16 18:34:59"
="2471268636067349001",="2471268636066349001","【暖春价】Love to dream 婴幼儿过渡期睡袋 秋冬季保暖款防惊跳投降式睡袋","539.00","1","9343443006033","颜色分类：浅紫色(秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】L：8.5-11kg (约6-9个月)","null","null","买家已付款，等待卖家发货","9343443006033",="null","171.16","171.16","没有申请退款","无退款申请","2022-02-16 18:31:08","2022-02-16 18:31:16"
="2471268636068349001",="2471268636066349001","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 18:31:08","2022-02-16 18:31:16"
="2472585626809718962",="2472585626808718962","【暖春价】Love to dream新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg（约至6个月）","null","null","买家已付款，等待卖家发货","9343443000321",="null","285.78","285.78","没有申请退款","无退款申请","2022-02-16 18:00:15","2022-02-16 18:00:21"
="2472585626810718962",="2472585626808718962","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 18:00:15","2022-02-16 18:00:21"
="2473245111649919132",="2473245111648919132","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443004787","颜色分类：灰色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443004787",="null","157.05","157.05","没有申请退款","无退款申请","2022-02-16 17:59:36","2022-02-16 17:59:51"
="2473245111650919132",="2473245111648919132","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 17:59:36","2022-02-16 17:59:51"
