Item ID,Qty,Rate,External ID,Date,Department,Location,Currency,Customer,Gross Amount,Price Level,VAT,PO,Payment Method,Memo,Account,Cus Checking,New Cus Checking
1861,1,118.26,JY074769344598,06/02/2022,22,76,CNY,3760095,133.63,Custom,,1483074769360153789,,1483074769360153789,2069,19,Tmall
94,1,138.96,JY075097544600,08/02/2022,22,76,CNY,3760095,157.03,Custom,,2457075097507787239,,2457075097507787239,2069,19,Tmall
1243,1,153.65,JY078333644598,06/02/2022,22,76,CNY,3760095,173.63,Custom,,1483078333690942491,,1483078333690942491,2069,19,Tmall
58,1,252.86,JY080741744600,08/02/2022,22,76,CNY,3760095,285.73,Custom,,2456080741713441010,,2456080741713441010,2069,19,Tmall
50,1,252.86,JY080741744600,08/02/2022,22,76,CNY,3760095,285.73,Custom,,2456080741713441010,,2456080741713441010,2069,19,Tmall
2757,1,227.32,JY080741744600,08/02/2022,22,76,CNY,3760095,256.87,Custom,,2456080741713441010,,2456080741713441010,2069,19,Tmall
51,1,211.88,JY082615144599,07/02/2022,22,76,CNY,3760095,239.42,Custom,,2456082615179625351,,2456082615179625351,2069,19,Tmall
51,1,252.46,JY083543344599,07/02/2022,22,76,CNY,3760095,285.28,Custom,,2455083543343429113,,2455083543343429113,2069,19,Tmall
1861,1,153.98,JY083751344601,09/02/2022,22,76,CNY,3760095,174.0,Custom,,1485083751386617199,,1485083751386617199,2069,19,Tmall
61,1,249.92,JY085147644599,07/02/2022,22,76,CNY,3760095,282.41,Custom,,1484085147661891281,,1484085147661891281,2069,19,Tmall
1861,1,153.65,JY089115644598,06/02/2022,22,76,CNY,3760095,173.63,Custom,,2454089115606750834,,2454089115606750834,2069,19,Tmall
1368,1,323.75,JY089394544598,06/02/2022,22,76,CNY,3760095,365.84,Custom,,2453089394552566021,,2453089394552566021,2069,19,Tmall
2982,1,279.65,JY089583644598,06/02/2022,22,76,CNY,3760095,316.0,Custom,,2454089583663610633,,2454089583663610633,2069,19,Tmall
1861,1,118.26,JY089658344601,09/02/2022,22,76,CNY,3760095,133.63,Custom,,2459089658344455200,,2459089658344455200,2069,19,Tmall
1953,1,314.18,JY090806744598,06/02/2022,22,76,CNY,3760095,355.02,Custom,,2454090806703959132,,2454090806703959132,2069,19,Tmall
51,1,249.96,JY093709944600,08/02/2022,22,76,CNY,3760095,282.45,Custom,,2457093709979726510,,2457093709979726510,2069,19,Tmall
3022,1,238.43,JY094115244600,08/02/2022,22,76,CNY,3760095,269.43,Custom,,2458094115265614911,,2458094115265614911,2069,19,Tmall
1408,1,203.96,JY096170144598,06/02/2022,22,76,CNY,3760095,230.47,Custom,,2454096170128409272,,2454096170128409272,2069,19,Tmall
105,1,321.96,JY096170144598,06/02/2022,22,76,CNY,3760095,363.81,Custom,,2454096170128409272,,2454096170128409272,2069,19,Tmall
1861,1,118.26,JY097465644601,09/02/2022,22,76,CNY,3760095,133.63,Custom,,1485097465639310593,,1485097465639310593,2069,19,Tmall
51,1,252.88,JY098579244600,08/02/2022,22,76,CNY,3760095,285.75,Custom,,2458098579240983019,,2458098579240983019,2069,19,Tmall
1243,1,118.26,JY098651744600,08/02/2022,22,76,CNY,3760095,133.63,Custom,,2458098651748193129,,2458098651748193129,2069,19,Tmall
91,1,118.26,JY101821744599,07/02/2022,22,76,CNY,3760095,133.63,Custom,,2454101821759457906,,2454101821759457906,2069,19,Tmall
60,1,210.96,JY105800144598,06/02/2022,22,76,CNY,3760095,238.39,Custom,,2452105800121496138,,2452105800121496138,2069,19,Tmall
1861,1,153.65,JY107025544598,06/02/2022,22,76,CNY,3760095,173.63,Custom,,1483107025599806785,,1483107025599806785,2069,19,Tmall
104,1,323.89,JY109796444599,07/02/2022,22,76,CNY,3760095,366.0,Custom,,1483109796458021193,,1483109796458021193,2069,19,Tmall
1861,1,155.96,JY112082844598,06/02/2022,22,76,CNY,3760095,176.24,Custom,,2454112082840488623,,2454112082840488623,2069,19,Tmall
