"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="1484973985882849892",="1484973985882849892","Love to dream 婴幼儿过渡期睡袋 秋冬季保暖款防惊跳投降式睡袋","539.00","1","9343443004749","颜色分类：薄荷绿 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】L：8.5-11kg (约6-9个月)","null","null","卖家已发货，等待买家确认","9343443004749",="null","376.36","376.36","没有申请退款","无退款申请","2022-02-09 17:29:07","2022-02-09 17:29:21"
="2458993178915686729",="2458993178915686729","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","交易关闭","9343443000321",="null","238.39","238.39","退款成功","238.39","2022-02-09 17:22:12","2022-02-09 17:22:16"
="1485083751386617199",="1485083751386617199","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005951","颜色分类：蓝色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443005951",="null","174.00","174.00","没有申请退款","无退款申请","2022-02-09 17:12:36","2022-02-09 17:12:40"
="1484955013361616999",="1484955013361616999","Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443004077","颜色分类：粉红色 （四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","卖家已发货，等待买家确认","9343443004077",="null","366.00","366.00","没有申请退款","无退款申请","2022-02-09 16:58:38","2022-02-09 16:58:41"
="2458576045867487603",="2458576045867487603","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005951","颜色分类：蓝色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443005951",="null","174.00","174.00","没有申请退款","无退款申请","2022-02-09 16:55:44","2022-02-09 16:55:47"
="2458931834416939173",="2458931834416939173","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000307","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】S码：2.5-4.5kg（约0-1个月）","null","null","卖家已发货，等待买家确认","9343443000307",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-09 16:52:52","2022-02-09 16:52:57"
="2458526617284965733",="2458526617284965733","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005951","颜色分类：蓝色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443005951",="null","173.63","173.63","没有申请退款","无退款申请","2022-02-09 16:29:29","2022-02-09 16:29:37"
="2457422892632187115",="2457422892632187115","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443005920",="null","179.00","179.00","没有申请退款","无退款申请","2022-02-09 16:28:51","2022-02-09 16:28:58"
="2458497385474419364",="2458497385474419364","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443002042","颜色分类：绿松色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443002042",="null","173.64","173.64","没有申请退款","无退款申请","2022-02-09 16:15:43","2022-02-09 16:16:13"
="1484071176759115995",="1484071176759115995","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005951","颜色分类：蓝色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443005951",="null","133.63","133.63","没有申请退款","无退款申请","2022-02-09 16:14:08","2022-02-09 16:14:14"
