"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="1487027247912787794",="1487027247911787794","lovetodream婴儿睡袋襁褓分腿睡袋四季通用款防惊跳投降式睡袋","499.00","1","9343443005494","颜色分类：粉红色（四季通用款） 1.0TOG;长度：【建议大一码】M码：6-8.5kg (约3-6个月)","null","null","买家已付款，等待卖家发货","9343443005494",="null","348.23","348.23","没有申请退款","无退款申请","2022-02-12 19:51:18","2022-02-12 19:51:24"
="1487027247913787794",="1487027247911787794","lovetodream婴儿睡袋一体式分腿宝宝睡袋防踢被连体睡袋哈衣爬服","329.00","1","9343443100649","颜色分类：兔子花色;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","买家已付款，等待卖家发货","9343443100649",="null","250.26","250.26","没有申请退款","无退款申请","2022-02-12 19:51:18","2022-02-12 19:51:24"
="2463883272776302463",="2463883272776302463","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000369","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】S码：2.5-4.5kg（约0-1个月）","null","null","买家已付款，等待卖家发货","9343443000369",="null","238.39","238.39","没有申请退款","无退款申请","2022-02-12 19:47:39","2022-02-12 19:47:46"
="1486957658312049994",="1486957658312049994","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","281.49","281.49","没有申请退款","无退款申请","2022-02-12 19:37:44","2022-02-12 19:37:52"
="1486054524054179581",="1486054524054179581","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443100915","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443100915",="null","238.39","220.52","没有申请退款","无退款申请","2022-02-12 19:37:20","2022-02-12 19:37:46"
="2463857316757391225",="2463857316756391225","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-12 19:33:38","2022-02-12 19:33:49"
="2463857316758391225",="2463857316756391225","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443005920",="null","173.63","173.63","没有申请退款","无退款申请","2022-02-12 19:33:38","2022-02-12 19:33:49"
="1486955246290729680",="1486955246290729680","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000307","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】S码：2.5-4.5kg（约0-1个月）","null","null","买家已付款，等待卖家发货","9343443000307",="null","238.39","238.39","没有申请退款","无退款申请","2022-02-12 19:33:34","2022-02-12 19:33:38"
="1486909417296987881",="1486909417296987881","Love to dream 婴幼儿过渡期睡袋 秋冬季保暖款防惊跳投降式睡袋","539.00","1","9343443006026","颜色分类：浅紫色(秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：6-8.5kg (约3-6个月)","null","null","等待买家付款","9343443006026",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-12 19:31:34",""
="2463823116983554273",="2463823116983554273","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443000321",="null","283.32","283.32","没有申请退款","无退款申请","2022-02-12 19:18:20","2022-02-12 19:18:28"
="1486018560478810680",="1486018560478810680","lovetodream过渡期竹纤维四季通用款襁褓防惊跳投降式睡袋","509.00","1","9343443009621","颜色分类：灰色波点（竹纤维四季通用款）1.0TOG;长度：【尺码详询客服】M码：6-8.5kg (约3-6个月)","null","null","买家已付款，等待卖家发货","9343443009621",="null","343.68","343.68","没有申请退款","无退款申请","2022-02-12 18:40:45","2022-02-12 18:40:50"
="2464797673697153453",="2464797673697153453","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443005920",="null","139.00","139.00","没有申请退款","无退款申请","2022-02-12 18:22:50","2022-02-12 18:22:56"
="2464745041951940452",="2464745041951940452","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443100915","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443100915",="null","238.39","238.39","没有申请退款","无退款申请","2022-02-12 18:00:42","2022-02-12 18:00:46"
="2464718725063673953",="2464718725063673953","Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000857","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】XL码：11-14kg (约9-12个月)","null","null","买家已付款，等待卖家发货","9343443000857",="null","315.15","315.15","没有申请退款","无退款申请","2022-02-12 17:46:59","2022-02-12 17:47:05"
="1486843393349740377",="1486843393349740377","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443004787","颜色分类：灰色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443004787",="null","133.63","133.63","没有申请退款","无退款申请","2022-02-12 17:46:59","2022-02-12 17:47:03"
="2463594660133826209",="2463594660133826209","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443005920",="null","173.63","173.63","没有申请退款","无退款申请","2022-02-12 17:32:59","2022-02-12 17:33:06"
="2463578280242440118",="2463578280242440118","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443005920",="null","179.00","179.00","没有申请退款","无退款申请","2022-02-12 17:26:11","2022-02-12 17:26:16"
="1486933287876853275",="1486933287876853275","Love to dream 婴幼儿过渡期睡袋 秋冬季保暖款防惊跳投降式睡袋","539.00","1","9343443006026","颜色分类：浅紫色(秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：6-8.5kg (约3-6个月)","null","null","卖家已发货，等待买家确认","9343443006026",="null","225.89","225.89","没有申请退款","无退款申请","2022-02-12 17:22:25","2022-02-12 17:22:37"
="1486927095889678480",="1486927095889678480","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443005920",="null","133.63","133.63","没有申请退款","无退款申请","2022-02-12 17:13:39","2022-02-12 17:13:45"
="2464634305123762044",="2464634305123762044","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000376",="null","283.36","283.36","没有申请退款","无退款申请","2022-02-12 17:10:29","2022-02-12 17:10:56"
="2464633405060855671",="2464633405060855671","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000345","颜色分类：蓝色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000345",="null","238.39","238.39","没有申请退款","无退款申请","2022-02-12 17:09:51","2022-02-12 17:10:03"
="2465604111451096372",="2465604111451096372","Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000840","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","卖家已发货，等待买家确认","9343443000840",="null","332.40","332.40","没有申请退款","无退款申请","2022-02-12 17:06:02","2022-02-12 17:06:06"
="2464918994274273069",="2464918994274273069","Love to dream 新生婴儿睡袋竹纤维轻薄款防踢被防惊跳投降式睡姿","439.00","1","9343443005340","颜色分类：灰色星月 (竹纤维四季通用款) 1.0TOG;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","卖家已发货，等待买家确认","9343443005340",="null","266.52","246.54","没有申请退款","无退款申请","2022-02-12 16:39:35","2022-02-12 16:39:39"
="2464551721754551552",="2464551721754551552","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000345","颜色分类：蓝色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000345",="null","286.97","286.97","没有申请退款","无退款申请","2022-02-12 16:35:40","2022-02-12 16:42:40"
="2463449724203506112",="2463449724203506112","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","卖家已发货，等待买家确认","9343443000321",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-12 16:30:43","2022-02-12 16:30:47"
="2465496435114450729",="2465496435114450729","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000314","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000314",="null","283.24","283.24","没有申请退款","无退款申请","2022-02-12 16:16:51","2022-02-12 16:16:57"
="2464865354499153871",="2464865354499153871","Lovetodream 新生婴儿防惊跳睡袋宝宝襁褓投降式防踢被四季通用款","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","卖家已发货，等待买家确认","9343443000321",="null","286.93","286.93","没有申请退款","无退款申请","2022-02-12 16:15:52","2022-02-12 16:15:58"
="2465469579480463134",="2465469579480463134","Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000833","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】M码：6-8.5kg (约3-6个月)","null","null","卖家已发货，等待买家确认","9343443000833",="null","366.00","366.00","没有申请退款","无退款申请","2022-02-12 16:04:29","2022-02-12 16:04:35"
="1486810202586597575",="1486810202586597575","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000345","颜色分类：蓝色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000345",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-12 15:49:37","2022-02-12 15:49:42"
="2465425623366463134",="2465425623366463134","lovetodream婴儿睡袋儿童防踢被四季通款宝宝睡袋新生婴儿防惊跳","439.00","1","9343443102070","颜色分类：虎年老虎款(四季通用款) 1.0TOG;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","交易关闭","9343443102070",="null","311.73","311.73","退款成功","311.73","2022-02-12 15:45:04","2022-02-12 15:45:10"
="2465410611541880742",="2465410611541880742","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000376",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-12 15:38:32","2022-02-12 15:38:48"
="2464761890143528023",="2464761890143528023","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443002257","颜色分类：浅紫色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443002257",="null","179.00","179.00","没有申请退款","无退款申请","2022-02-12 15:26:20","2022-02-12 15:26:24"
